CIPCODE,Total Count,Description
11.0101,5103,"Computer and Information Sciences, General"
11.0701,4890,Computer Science
14.1001,2357,"Electrical, Electronics and Communications Engineering"
14.1901,2199,Mechanical Engineering
11.0401,1907,Information Science/Studies
14.0901,1663,"Computer Engineering, General"
11.0103,1659,Information Technology
14.0801,1635,"Civil Engineering, General"
11.1003,1163,Computer and Information Systems Security
14.0701,1089,Chemical Engineering
14.0101,1013,"Engineering, General"
14.0501,856,Biomedical/Medical Engineering
15.0303,851,Electrical/Electronic/Communications Engr Technology/Technician
14.3501,671,Industrial Engineering
14.1201,668,Engineering Physics
11.0801,606,"Web Page, Digital/Multimedia and Information Resources Design"
11.0201,595,"Computer Programming/Programmer, General"
14.1401,583,Environmental/Environmental Health Engineering
11.0901,491,Computer Systems Networking and Telecommunications
14.0201,468,"Aerospace, Aeronautical and Astronautical Engineering"
14.9999,439,"Engineering, Other"
11.9999,429,"Computer and Information Sciences and Support Services, Other"
11.0501,408,Computer Systems Analysis/Analyst
15.0805,393,Mechanical Engineering/Mechanical Technology/Technician
14.0903,368,Computer Software Engineering
14.1801,361,Materials Engineering
15.1001,342,Construction Engineering Technology/Technician
15.0,321,"Engineering Technology, General"
15.1501,319,Engineering/Industrial Management
14.1301,303,Engineering Science
15.1201,295,Computer Engineering Technology/Technician
15.9999,264,"Engineering Technologies/Technicians, Other"
15.0399,262,"Electrical/Electronic Engineering Technologies/Technicians, Other"
14.0301,249,Agricultural/Biological Engineering and Bioengineering
11.0803,239,Computer Graphics
11.1099,238,"Computer/Info Tech Services Administration & Management, Other"
11.0899,212,"Computer Software and Media Applications, Other"
11.0199,210,"Computer and Information Sciences, Other"
11.1001,202,System Administration/Administrator
14.3601,199,Manufacturing Engineering
15.0201,197,Civil Engineering Technology/Technician
11.1004,160,Web/Multimedia Management and Webmaster
14.2701,157,Systems Engineering
15.1102,148,Surveying Technology/Surveying
14.0401,148,Architectural Engineering
14.2301,139,Nuclear Engineering
14.2501,137,Petroleum Engineering
15.0101,119,Architectural Engineering Technology/Technician
14.3301,117,Construction Engineering
11.1002,105,"System, Networking, and LAN/WAN Management/Manager"
11.0802,102,Data Modeling/Warehousing and Database Administration
14.2101,102,Mining and Mineral Engineering
14.3901,99,Geological/Geophysical Engineering
15.0899,96,"Mechanical Engineering Related Technologies/Technicians, Other"
14.3701,95,Operations Research
15.0803,92,Automotive Engineering Technology/Technician
11.0202,92,"Computer Programming, Specific Applications"
15.0403,88,Electromechanical Technology/Electromechanical Engineering Tech
14.2001,82,Metallurgical Engineering
11.0301,73,Data Processing and Data Processing Technology/Technician
14.2201,68,Naval Architecture and Marine Engineering
15.0401,66,Biomedical Technology/Technician
15.0801,64,Aeronautical/Aerospace Engineering Technology/Technician
14.1101,59,Engineering Mechanics
15.1301,55,"Drafting and Design Technology/Technician, General"
15.1302,48,CAD/CADD Drafting and/or Design Technology/Technician
14.2401,45,Ocean Engineering
14.3201,44,Polymer/Plastics Engineering
15.1202,41,Computer Technology/Computer Systems Technology
15.0405,40,Robotics Technology/Technician
11.0102,40,Artificial Intelligence and Robotics
14.0601,38,Ceramic Sciences and Engineering
15.0305,38,Telecommunications Technology/Technician
14.0899,36,"Civil Engineering, Other"
14.3801,34,Surveying Engineering
14.0803,34,Structural Engineering
14.0999,32,"Computer Engineering, Other"
15.1204,28,Computer Software Technology/Technician
14.2801,25,Textile Sciences and Engineering
11.0299,24,"Computer Programming, Other"
14.3101,23,Materials Science
15.0404,22,Instrumentation Technology/Technician
15.1399,18,"Drafting/Design Engineering Technologies/Technicians, Other"
14.0805,18,Water Resources Engineering
15.1299,15,"Computer Engineering Technologies/Technicians, Other"
14.3401,13,Forest Engineering
15.1306,12,Mechanical Drafting and Mechanical Drafting CAD/CADD
14.0804,10,Transportation and Highway Engineering
15.1401,10,Nuclear Engineering Technology/Technician
15.1199,10,"Engineering-Related Technologies, Other"
15.1303,9,Architectural Drafting and Architectural CAD/CADD
15.0903,7,Petroleum Technology/Technician
15.0304,6,Laser and Optical Technology/Technician
15.0901,4,Mining Technology/Technician
15.1304,4,Civil Drafting and Civil Engineering CAD/CADD
15.0999,3,"Mining and Petroleum Technologies/Technicians, Other"
15.1103,3,Hydraulics and Fluid Power Technology/Technician
14.0802,2,Geotechnical Engineering
11.0601,2,"Data Entry/Microcomputer Applications, General"
11.0203,2,"Computer Programming, Vendor/Product Certification"
15.1203,1,Computer Hardware Technology/Technician
